Alpha,q,delta_e,Output1
0.035353505,0.003361647,0.090069944,0.045821846
0.035267848,0.003261584,0.089861553,0.04577735
0.035186796,0.003280975,0.089064334,0.045667283
0.035108407,0.003267291,0.089151568,0.045662344
0.035031641,0.003207789,0.089389037,0.045674175
0.034955192,0.003077258,0.089565927,0.045676485
0.034877131,0.002851147,0.089980287,0.04570377
0.034797728,0.00261771,0.090336492,0.045723602
0.034718221,0.002419721,0.090157178,0.045680545
0.034638575,0.00223496,0.090217757,0.045666583
0.034562274,0.002217959,0.090188679,0.04564804
0.034492544,0.002351329,0.089183069,0.04551895
0.034427394,0.002464694,0.089241224,0.045517206
0.034364921,0.002492955,0.089389037,0.04552391
0.034303407,0.002442143,0.089893054,0.045570783
0.03424118,0.002283261,0.090009365,0.045567654
0.034177024,0.002070046,0.09071935,0.045633316
0.034112439,0.001880255,0.090484304,0.045586728
0.034047778,0.00172696,0.090661195,0.045590542
0.033983886,0.001600543,0.090336492,0.045535438
0.033919684,0.001449261,0.090571538,0.045546368
0.033855723,0.001312087,0.090603039,0.04553348
0.033791939,0.001171779,0.090571538,0.045512974
0.033727683,0.001006758,0.09071935,0.045513004
0.033662495,0.00081332,0.090838085,0.045508467
0.033597381,0.000664947,0.091014976,0.04551237
0.033535133,0.000637504,0.090632117,0.04545386
0.033476698,0.000681183,0.090275913,0.045401596
0.033420344,0.000669946,0.090217757,0.045383543
0.033363832,0.000566378,0.09071935,0.045429364
0.033305052,0.000333297,0.090927742,0.045435444
0.033243403,6.85e-05,0.091695883,0.045506865
0.033182416,-8.23e-05,0.091252445,0.045437314
0.033121967,-0.000211591,0.091014976,0.0453932
0.03306234,-0.000306283,0.091194289,0.045400187
0.033004317,-0.000376151,0.090867163,0.045347758
0.032945688,-0.000524534,0.091104632,0.045360126
0.032885131,-0.000745153,0.091489915,0.04538744
0.032824723,-0.000886707,0.091695883,0.045395926
0.032766642,-0.000943144,0.091046477,0.045305416
0.032710467,-0.000971069,0.091194289,0.04531148
0.03265421,-0.00110433,0.090927742,0.045264542
0.032593373,-0.001420952,0.091991508,0.045369744
0.032528808,-0.001763574,0.092287133,0.04538159
0.032463966,-0.001960276,0.092287133,0.0453628
0.032400175,-0.002104347,0.091400258,0.04523994
0.032335415,-0.002276733,0.092020586,0.045296133
0.032272366,-0.002362403,0.091695883,0.045242496
0.032208618,-0.002542518,0.091518992,0.04520335
0.032141213,-0.002839665,0.092434946,0.04529027
0.032072201,-0.003098163,0.092434946,0.045268662
0.032001529,-0.003361319,0.092287133,0.045228943
0.03193032,-0.003555808,0.092582759,0.04524436
0.031863137,-0.003555604,0.091933352,0.04515396
0.031799117,-0.003556852,0.091342102,0.045071058
0.031735002,-0.003661381,0.092020586,0.045136526
0.031670197,-0.003833868,0.092139321,0.045132764
0.031605168,-0.003983,0.092582759,0.045168497
0.031542561,-0.004037334,0.092081165,0.045094863
0.03148213,-0.004066852,0.092020586,0.045075163
0.031424008,-0.004081118,0.091991508,0.045060154
0.031367637,-0.004115082,0.091991508,0.045048308
0.031311317,-0.004223748,0.0921999,0.045058943
0.031253208,-0.004426896,0.092582759,0.045086995
0.031192853,-0.00467142,0.092938963,0.045110084
0.031131657,-0.004870813,0.092968041,0.045095384
0.031072198,-0.004949462,0.092730571,0.045053117
0.031015682,-0.004957375,0.092228978,0.044982158
0.030962292,-0.004916766,0.092318634,0.044984043
0.030913262,-0.004820807,0.09196243,0.044935282
