Alpha,q,delta_e,Output1,Output2,Output3
0.147566155,0.19563614,-0.102641188,0.38158548,0.6068103,-0.53696626
0.144783735,0.194862797,-0.10879678,0.37205935,0.59885585,-0.5283478
0.142150901,0.195012662,-0.132345564,0.34910783,0.5840157,-0.50677735
0.139604569,0.194906904,-0.129768788,0.34694767,0.580523,-0.5055997
0.137110958,0.19444704,-0.122754271,0.34835052,0.5789032,-0.5077805
0.134627644,0.193438224,-0.117529177,0.34829888,0.5763115,-0.50830674
0.132091966,0.191690714,-0.105289536,0.3536378,0.57636636,-0.5138867
0.129512697,0.189886584,-0.094767716,0.35753986,0.5755781,-0.5180429
0.126930049,0.188356415,-0.100064412,0.3489458,0.568054,-0.50997055
0.124342886,0.18692848,-0.098274989,0.34596235,0.5636256,-0.50747913
0.121864379,0.186797087,-0.099133915,0.34119225,0.55875903,-0.5036883
0.11959932,0.187827844,-0.128838291,0.31406322,0.5422653,-0.47819388
0.117483035,0.188703992,-0.12712047,0.31202963,0.5395601,-0.4773567
0.115453707,0.188922408,-0.122754271,0.31216863,0.53789574,-0.47837332
0.11345553,0.188529705,-0.107866282,0.3206239,0.5405941,-0.48734918
0.111434193,0.187301777,-0.104430611,0.31989408,0.5379706,-0.4869396
0.109350196,0.185653934,-0.083458602,0.33289647,0.54264927,-0.49994755
0.107252264,0.184187124,-0.090401547,0.32380337,0.5353075,-0.4912177
0.105151862,0.183002376,-0.085176423,0.32436395,0.53333294,-0.49212983
0.103076441,0.182025355,-0.094767716,0.31326133,0.5250803,-0.48159865
0.100990949,0.180856165,-0.087824771,0.31520742,0.5238811,-0.4838789
0.098913287,0.179796008,-0.086894273,0.31241935,0.5201399,-0.4815248
0.096841373,0.178711631,-0.087824771,0.3081656,0.5155949,-0.47771192
0.094754128,0.177436257,-0.083458602,0.3080589,0.51323664,-0.4779247
0.092636608,0.175941262,-0.079951329,0.3072006,0.5103661,-0.47732145
0.090521492,0.174794553,-0.074726205,0.30774087,0.50838006,-0.4782341
0.088499472,0.174582458,-0.086035348,0.29544368,0.4997826,-0.46680173
0.086601312,0.174920034,-0.096557139,0.28402874,0.49196485,-0.45640674
0.08477075,0.174833188,-0.098274989,0.27964932,0.48790637,-0.45276543
0.082935055,0.174032757,-0.083458602,0.28827417,0.4907041,-0.46168578
0.081025687,0.172231379,-0.077302981,0.28982326,0.48923048,-0.46325797
0.079023126,0.170184881,-0.054613121,0.30427888,0.49464026,-0.47751305
0.077042068,0.169019416,-0.067711688,0.29053706,0.4849662,-0.4642657
0.075078487,0.168020183,-0.074726205,0.2816554,0.47801927,-0.45587486
0.073141606,0.167288351,-0.069429538,0.28258714,0.4765475,-0.45726648
0.071256829,0.166748373,-0.079092403,0.2717856,0.46877822,-0.44712877
0.069352367,0.165601587,-0.072077886,0.27408835,0.46794334,-0.44969904
0.067385277,0.163896522,-0.060697141,0.2796871,0.468663,-0.45532963
0.065423027,0.162802514,-0.054613121,0.28116378,0.46734306,-0.45712757
0.063536366,0.162366338,-0.073795707,0.262836,0.4554964,-0.43960086
0.061711618,0.162150518,-0.069429538,0.2632678,0.45402732,-0.44065672
0.059884206,0.161120604,-0.077302981,0.25392732,0.44694093,-0.43174765
0.057908021,0.158673574,-0.045880753,0.2752965,0.45601466,-0.45266128
0.055810738,0.156025602,-0.037148386,0.27849036,0.45498356,-0.45559984
0.053704457,0.15450538,-0.037148386,0.2748725,0.45060715,-0.45225793
0.051632316,0.15339192,-0.063345489,0.25062042,0.43512824,-0.42869017
0.049528699,0.152059626,-0.045021828,0.26152655,0.43875155,-0.4397596
0.047480661,0.151397521,-0.054613121,0.2505007,0.4306725,-0.42941666
0.045409917,0.150005493,-0.059838245,0.24281925,0.42415157,-0.42209908
0.043220382,0.147708977,-0.032782187,0.26039743,0.43101493,-0.4394124
0.040978646,0.145711161,-0.032782187,0.2565087,0.42620698,-0.43566918
0.038682988,0.143677346,-0.037148386,0.24907231,0.41940072,-0.4284307
0.036369886,0.142174228,-0.028415989,0.25202656,0.418435,-0.43166468
0.034187562,0.142175805,-0.047598604,0.23325646,0.4062313,-0.41398814
0.032107982,0.14216616,-0.065063339,0.21601367,0.3949497,-0.39777485
0.030025317,0.141358302,-0.045021828,0.2283665,0.39956048,-0.41046938
0.027920238,0.140025227,-0.041514555,0.22754501,0.39677623,-0.40996087
0.025807883,0.138872652,-0.028415989,0.23431985,0.3981963,-0.41702536
0.023774202,0.138452729,-0.043232405,0.21920714,0.38797987,-0.40273657
0.021811206,0.138224598,-0.045021828,0.21453899,0.3835971,-0.39880678
0.019923212,0.138114342,-0.045880753,0.21074244,0.37979767,-0.39575422
0.018092098,0.13785185,-0.045880753,0.20770389,0.37641126,-0.39336818
0.016262639,0.137012019,-0.039725132,0.20948124,0.37546083,-0.3955104
0.014375069,0.135441979,-0.028415989,0.21516773,0.37634546,-0.4012493
0.01241454,0.133552163,-0.017894198,0.220079,0.37663257,-0.4061263
0.010426694,0.132011143,-0.017035273,0.21733361,0.37283137,-0.4035912
0.00849527,0.131403301,-0.024049819,0.2085442,0.3660966,-0.3954318
0.006659446,0.131342145,-0.038866207,0.19379307,0.35637662,-0.38156292
0.004925163,0.131655993,-0.036217888,0.19306755,0.35453632,-0.3816479
0.003332508,0.132397617,-0.046739679,0.18219584,0.34742585,-0.37182763
0.001879369,0.133356205,-0.045880753,0.1805817,0.3455708,-0.37117738
0.000558274,0.134255546,-0.051105848,0.17436415,0.34129903,-0.3659075
-0.000688142,0.134667926,-0.043232405,0.1785861,0.34263092,-0.3707245
-0.001873002,0.134860622,-0.037148386,0.18147108,0.34321287,-0.3741117
-0.002983963,0.135130689,-0.036217888,0.18040715,0.3417302,-0.37360156
-0.003975807,0.135937117,-0.038007311,0.17744069,0.33949718,-0.3713762
-0.004818293,0.137127429,-0.049388027,0.16716841,0.33353743,-0.3620297
-0.005549849,0.138130294,-0.047598604,0.16748208,0.33339572,-0.36301765
-0.006209162,0.138715554,-0.044091331,0.16923197,0.33396104,-0.365232
-0.006806725,0.139185813,-0.036217888,0.17452712,0.33647907,-0.37087733
-0.007373623,0.139175851,-0.040584057,0.17013833,0.33357143,-0.3667624
-0.007912683,0.139292483,-0.023119322,0.18308423,0.3402006,-0.37979993
-0.008297902,0.140509498,-0.043232405,0.16665645,0.33129653,-0.36420777
-0.008512487,0.142277072,-0.051964773,0.15957093,0.32783526,-0.3579875
-0.008591583,0.143820665,-0.058120395,0.15472493,0.32564226,-0.35383755
-0.008619876,0.144582414,-0.046739679,0.16376133,0.33081198,-0.36306775
-0.008584015,0.145363918,-0.038007311,0.17080948,0.33495978,-0.37031755
-0.008443395,0.146453806,-0.047598604,0.16356035,0.33149645,-0.36353183
-0.008157867,0.148205907,-0.046739679,0.16488618,0.33307165,-0.36541396
-0.007705407,0.150170667,-0.065922265,0.15064792,0.32636675,-0.35194808
-0.007201202,0.151226843,-0.053754196,0.16121301,0.33294782,-0.36259422
-0.006690305,0.151617676,-0.043232405,0.17041929,0.33856636,-0.37163618
-0.006156345,0.152046518,-0.037148386,0.17615548,0.34232295,-0.3772581
-0.005597145,0.152373312,-0.045021828,0.17087752,0.34005108,-0.37195626
-0.005016019,0.152835186,-0.035358963,0.1795268,0.34545228,-0.38044852
-0.004335202,0.153982791,-0.049388027,0.1696602,0.34106177,-0.37088984
-0.00354339,0.155502564,-0.054613121,0.16698079,0.3408229,-0.3685289
-0.002665886,0.15682519,-0.060697141,0.16374278,0.34028858,-0.36550575
-0.00177893,0.157429663,-0.051105848,0.17285286,0.34626347,-0.3743891
-0.000863974,0.158117373,-0.043232405,0.18065786,0.3515788,-0.38200563
0.000240003,0.16049068,-0.054613121,0.17370662,0.34957588,-0.37563872
0.001956354,0.167856137,-0.089542622,0.14962971,0.34046316,-0.35407624
0.005203123,0.186192189,-0.190036496,0.077289864,0.31008607,-0.2885552
0.011246929,0.220528484,-0.387517002,-0.06558945,0.2491189,-0.15855363
0.02115225,0.270373804,-0.629518271,-0.235787,0.18195564,-0.006133577
0.035481371,0.331187764,-0.825209354,-0.3609552,0.14707437,0.09927346
0.054294776,0.396816897,-0.958055983,-0.4285292,0.14930022,0.1476921
0.077218615,0.461550561,-1.0,-0.41749513,0.19783583,0.12046195
0.103696449,0.521826065,-0.987760359,-0.35818484,0.27440375,0.048703752
0.133145984,0.576369224,-0.938801795,-0.2655055,0.3699073,-0.05259499
