a,q,delta e,cd
0,-0.0043,-0.15,0.00784
-0.000317706,-0.000500846,-0.15,0.007781987
-0.000631545,0.003298,-0.15,0.00772468
-0.000941524,0.007096503,-0.15,0.007668078
-0.001247651,0.010894629,-0.15,0.007612179
-0.001549932,0.014692342,-0.15,0.007556983
-0.001848374,0.018489608,-0.15,0.007502487
-0.002142985,0.022286391,-0.15,0.007448691
-0.002433772,0.026082658,-0.15,0.007395593
-0.002720742,0.029878373,-0.15,0.007343192
-0.003003903,0.033673503,-0.15,0.007291487
-0.003283261,0.037468013,-0.15,0.007240477
-0.003558823,0.041261869,-0.15,0.007190159
-0.003830597,0.045055036,-0.15,0.007140533
-0.004098591,0.048847481,-0.15,0.007091597
-0.004362811,0.052639169,-0.15,0.007043351
-0.004623265,0.056430067,-0.15,0.006995792
-0.004879959,0.060220142,-0.15,0.006948919
-0.005132903,0.064009358,-0.15,0.006902732
-0.005382101,0.067797684,-0.15,0.006857228
-0.005627563,0.071585085,-0.15,0.006812407
-0.005869296,0.075371528,-0.15,0.006768267
-0.006107306,0.07915698,-0.15,0.006724806
-0.006341601,0.082941407,-0.15,0.006682024
-0.006572189,0.086724778,-0.15,0.006639918
-0.006799077,0.090507057,-0.15,0.006598489
-0.007022273,0.094288213,-0.15,0.006557733
-0.007241783,0.098068214,-0.15,0.00651765
-0.007457616,0.101847025,-0.15,0.006478239
-0.007669779,0.105624615,-0.15,0.006439498
-0.007878279,0.109400952,-0.15,0.006401426
-0.008083124,0.113176002,-0.15,0.006364022
-0.008284322,0.116949733,-0.15,0.006327283
-0.008481879,0.120722114,-0.15,0.006291209
-0.008675805,0.124493112,-0.15,0.006255798
-0.008866105,0.128262695,-0.15,0.006221049
-0.009052788,0.132030831,-0.15,0.006186961
-0.009235861,0.135797489,-0.15,0.006153532
-0.009415333,0.139562637,-0.15,0.00612076
-0.00959121,0.143326243,-0.15,0.006088645
-0.0097635,0.147088275,-0.15,0.006057185
-0.009932211,0.150848703,-0.15,0.006026378
-0.01009735,0.154607494,-0.15,0.005996224
-0.010258926,0.158364618,-0.15,0.00596672
-0.010416945,0.162120044,-0.15,0.005937866
-0.010571416,0.16587374,-0.15,0.005909659
-0.010722347,0.169625676,-0.15,0.005882099
-0.010869744,0.17337582,-0.15,0.005855185
-0.011013616,0.177124143,-0.15,0.005828914
