Alpha,q,delta_e,CD,CL,Cm
0.147566155,0.19563614,-0.102641188,-0.009481401,0.151027551,0.014538076
0.144783735,0.194862797,-0.10879678,-0.014469226,0.148004221,0.019789561
0.142150901,0.195012662,-0.132345564,-0.02932955,0.14347749,0.036364839
0.139604569,0.194906904,-0.129768788,-0.029196795,0.141731418,0.035646279
0.137110958,0.19444704,-0.122754271,-0.026497285,0.140410899,0.032021211
0.134627644,0.193438224,-0.117529177,-0.024816065,0.138772973,0.029657683
0.132091966,0.191690714,-0.105289536,-0.019149194,0.137657233,0.022778123
0.129512697,0.189886584,-0.094767716,-0.014488151,0.13631083,0.017060947
0.126930049,0.188356415,-0.100064412,-0.01887928,0.133348492,0.02177868
0.124342886,0.18692848,-0.098274989,-0.019218522,0.131160729,0.02179125
0.121864379,0.186797087,-0.099133915,-0.021015822,0.129096333,0.023325449
0.11959932,0.187827844,-0.128838291,-0.039204204,0.124420703,0.043706726
0.117483035,0.188703992,-0.12712047,-0.039336397,0.123162208,0.043248511
0.115453707,0.188922408,-0.122754271,-0.037907476,0.122091036,0.041100143
0.11345553,0.188529705,-0.107866282,-0.030442182,0.122011519,0.032062915
0.111434193,0.187301777,-0.104430611,-0.029541377,0.120491025,0.030740091
0.109350196,0.185653934,-0.083458602,-0.018640377,0.120681171,0.017891678
0.107252264,0.184187124,-0.090401547,-0.023718048,0.117938926,0.023505188
0.105151862,0.183002376,-0.085176423,-0.021835118,0.116557178,0.021021452
0.103076441,0.182025355,-0.094767716,-0.028416191,0.11367192,0.028307967
0.100990949,0.180856165,-0.087824771,-0.025542611,0.112488166,0.024678856
0.098913287,0.179796008,-0.086894273,-0.026104829,0.110698573,0.025011747
0.096841373,0.178711631,-0.087824771,-0.027728807,0.108709714,0.026578234
0.094754128,0.177436257,-0.083458602,-0.026330428,0.107224499,0.024671613
0.092636608,0.175941262,-0.079951329,-0.025439367,0.105570084,0.02337755
0.090521492,0.174794553,-0.074726205,-0.023564213,0.104185992,0.020893955
0.088499472,0.174582458,-0.086035348,-0.031099961,0.101348608,0.029185169
0.086601312,0.174920034,-0.096557139,-0.03811996,0.098827527,0.03682698
0.08477075,0.174833188,-0.098274989,-0.040067253,0.097190079,0.038676055
